outcome,variable,mean_available,mean_missing,diff_available_minus_missing,n_available_nonmissing,n_missing_nonmissing
ret_future_4q,bert_adoption_dummy,0.11044796597379433,0.08825734191727666,0.02219062405651767,29154,45356
ret_future_4q,bert_adoption_log_count,0.12202555731233677,0.0884106768090309,0.03361488050330587,29154,45356
ret_future_4q,size,7.539465027760784,7.538373355102951,0.0010916726578331648,29048,12173
ret_future_4q,bm,0.5141954073088046,0.6053602536483766,-0.091164846339572,28175,11578
ret_future_4q,leverage,0.3061204354958116,0.32725534975810144,-0.02113491426228986,29048,12173
ret_future_4q,profitability,-0.062364816295079964,-0.07624208975672392,0.013877273461643955,29048,12169
ret_future_4q,investment,0.26930760362683065,0.11819195820395209,0.15111564542287856,28853,11978
ret_future_4q,momentum,0.40617240714547903,0.13760341201780557,0.26856899512767346,27631,7062
ret_future_4q,mktcap_m,11469.00848528287,11644.670951128495,-175.66246584562577,29154,7450
ret_future_4q,rd,0.057771067782589065,0.050260175252327725,0.00751089253026134,29048,12173
ret_future_4q,capex,0.02608082523484771,0.03304677606881466,-0.006965950833966953,29048,12173
