yq,bin,n_ai,n_non,ew_spread,vw_spread
2020Q1,LowBM(growth),161,953,-0.29941242253703004,-0.14608390046985675
2020Q1,MidBM,104,1009,-0.05358925693243588,-0.08473541700623693
2020Q1,HighBM(value),80,1034,0.0638816742648598,-0.04192290314648606
2020Q2,LowBM(growth),128,1061,-0.09135712181370359,0.011717717161315644
2020Q2,MidBM,78,1110,-0.011532797299444342,-0.11308092983533735
2020Q2,HighBM(value),39,1150,-0.03683311255397048,-0.2039846538752466
2020Q3,LowBM(growth),170,989,-0.27590479725758105,0.022639740382073448
2020Q3,MidBM,99,1061,0.0377628178010439,-0.0348945275697681
2020Q3,HighBM(value),52,1107,-0.2576255928449074,-0.03599901675235673
2020Q4,LowBM(growth),191,955,-0.024717742301347947,0.09315278643838132
2020Q4,MidBM,131,1014,-0.0002777769321002932,-0.13438560033903396
2020Q4,HighBM(value),74,1072,-0.07576288376108364,0.05939963364127604
2021Q1,LowBM(growth),193,967,0.002358962223957789,0.10918166646007296
2021Q1,MidBM,126,1034,-0.09437491026252876,-0.016518607104927974
2021Q1,HighBM(value),115,1046,-0.1731975318041626,-0.20932784084744252
2021Q2,LowBM(growth),221,987,-0.004431775817706929,0.004087891924585085
2021Q2,MidBM,140,1067,-0.09121026855946016,-0.10212798866783887
2021Q2,HighBM(value),90,1118,-0.09812168831271373,-0.050491952052415946
2021Q3,LowBM(growth),212,992,-0.07748744197024598,-0.12386470276089079
2021Q3,MidBM,142,1062,-0.11299491487221835,-0.07117554077650542
2021Q3,HighBM(value),87,1117,-0.179387406277748,-0.11138217095720702
2021Q4,LowBM(growth),222,991,-0.09554167965508792,-0.1260554081647285
2021Q4,MidBM,161,1050,-0.09876914258158428,-0.026339085113980185
2021Q4,HighBM(value),105,1108,-0.019489259573364115,-0.12095268576505888
