spread,n_quarters,mean_spread,ts_se,ts_t,ts_p,hac_se,hac_t,hac_p,outcome,portfolio
ew_high_low,10,0.00042100758813726766,0.01087364839248868,0.03871815355259161,0.9699603487592736,0.009109743906645455,0.04621508490816624,0.9631388193033615,ret_future_1q,Within AI-positive: high intensity minus low intensity
vw_high_low,10,0.004826242706864591,0.016846464510332674,0.2864840099775502,0.7809929259125143,0.01476978222214527,0.3267646492192893,0.7438458987692855,ret_future_1q,Within AI-positive: high intensity minus low intensity
ew_high_low,8,0.01959201607373772,0.034476160763148786,0.5682771990864895,0.587604676156595,0.03916381496323401,0.500258110506604,0.6168933456612674,ret_future_4q,Within AI-positive: high intensity minus low intensity
vw_high_low,8,-0.00995809815648639,0.023900594717965264,-0.41664645896870617,0.6894160651246533,0.01726882679387166,-0.5766516900858781,0.564174773396567,ret_future_4q,Within AI-positive: high intensity minus low intensity
