outcome,interaction_with,n_obs,AI_main,AI_main_t,AI_main_p,AI_main_sig,AI_x_inter,AI_x_inter_t,AI_x_inter_p,AI_x_inter_sig
ret_future_1q,Tech,32758,-0.024569859393519217,-3.1851751016789915,0.0014466644560934695,-0.0246***,0.020310381099062455,1.6636292146990288,0.09618654990505926,0.0203*
ret_future_1q,Size,32758,-0.021059649864247344,-3.2573681847777216,0.0011245047190910499,-0.0211***,0.0022256180095177156,0.7700269147581984,0.44128392729851085,0.0022
ret_future_4q,Tech,26599,-0.06085785928787979,-2.3152840095552127,0.02059739427677221,-0.0609**,0.0026426061471627655,0.05242681494337521,0.9581886082573443,0.0026
ret_future_4q,Size,26599,-0.07032536481970031,-2.9716169555524545,0.0029623602017390094,-0.0703***,0.003932857669357073,0.34698386379857704,0.7286034413804554,0.0039
