yq,bin,n_ai,n_non,ew_spread,vw_spread
2020Q1,CommSvc,30,145,-0.05415542989140443,0.0432983721012844
2020Q1,ConsDiscr,47,348,0.014252357409039407,-0.031207919101081727
2020Q1,ConsStaples,8,119,-0.07147603062111191,-0.0021758349029124685
2020Q1,Energy,8,224,0.057974415562497494,-0.07972851593597446
2020Q1,Financials,29,475,-0.040463201616360495,-0.04392039991766167
2020Q1,HealthCare,53,588,-0.0659963239048183,-0.0069251930533228145
2020Q1,Industrials,39,452,0.06687509037823919,0.0019808133342753276
2020Q1,InfoTech,121,333,0.08069830155578639,-0.0030362779578527177
2020Q1,Materials,6,187,0.0904540778117493,0.057405157259998674
2020Q1,RealEstate,5,171,-0.026295342927119547,-0.06337251817193515
2020Q1,Utilities,6,76,0.036799166866525894,-0.023907087387273054
2020Q2,CommSvc,27,153,0.07460583308534205,-0.039195879117972995
2020Q2,ConsDiscr,19,405,-0.03663258221132193,0.10605050983016631
2020Q2,ConsStaples,7,123,0.013030433133240635,-0.08115368685537178
2020Q2,Energy,8,229,0.037629195074982,-0.07017767641181086
2020Q2,Financials,19,577,0.08116691780788782,0.06120766672609253
2020Q2,HealthCare,30,689,0.0894963142405281,0.01907750876219909
2020Q2,Industrials,25,475,0.07716994246141384,-0.018858249397371338
2020Q2,InfoTech,110,365,-0.012533415516401802,-0.24725092904294843
2020Q2,RealEstate,6,180,0.18442675644681025,0.1395112406831952
2020Q3,CommSvc,26,158,0.05975523882254491,0.3781914062778696
2020Q3,ConsDiscr,38,383,-0.14510980578447594,-0.14431019953236543
2020Q3,ConsStaples,7,124,-0.08868501531579073,0.02187431023107826
2020Q3,Energy,11,221,-0.0074176525239136315,0.1831035693258214
2020Q3,Financials,26,511,-0.10437099868437133,-0.1637911771673563
2020Q3,HealthCare,53,664,-0.04345900061962832,0.019935983032907403
2020Q3,Industrials,42,465,-0.05746006678384208,0.014742674735416517
2020Q3,InfoTech,131,352,0.022113371113654634,-0.10170398822459148
2020Q3,Materials,4,194,-0.07366237081580596,0.25485939842685124
2020Q3,RealEstate,3,177,-0.030003356633200612,0.05136992122092175
2020Q3,Utilities,3,81,0.08942082322270664,0.10020158740383668
2020Q4,CommSvc,33,151,-0.05934569053789182,0.06730631051639151
2020Q4,ConsDiscr,52,380,-0.0660776385179164,0.01826791687103064
2020Q4,ConsStaples,12,124,0.05812854870640746,-0.044743231125972824
2020Q4,Energy,17,211,0.032391013805789015,-0.1230232621379154
2020Q4,Financials,39,487,-0.06572836954801045,-0.09573044379223139
2020Q4,HealthCare,66,647,-0.14433264490712536,-0.010517368678069822
2020Q4,Industrials,48,445,-0.06364545371968663,-0.008535260132573039
2020Q4,InfoTech,140,353,-0.07810112100617694,0.038098513246602135
2020Q4,Materials,5,186,0.3811942438819653,0.16487832097129337
2020Q4,RealEstate,3,179,0.029234798282643207,-0.0051303095221055806
2020Q4,Utilities,5,80,-0.030777509429541675,0.07661255955136079
2021Q1,CommSvc,42,138,-0.07787075083691004,0.02630184213999956
2021Q1,ConsDiscr,49,369,-0.0683539700217738,0.07179765688024867
2021Q1,ConsStaples,12,121,-0.03056990369305279,0.0033777619122012936
2021Q1,Energy,10,200,-0.11826334127013968,-0.034495260559732066
2021Q1,Financials,51,452,-0.0020585578196935933,0.004055283590333303
2021Q1,HealthCare,75,668,0.020923809945928754,-0.03538044287593098
2021Q1,Industrials,44,446,-0.003366144437730853,0.0007616604563426346
2021Q1,InfoTech,141,338,0.046366012569475604,0.06130374602946423
2021Q1,Materials,7,185,0.05082045988159008,-0.031007610159511576
2021Q1,RealEstate,10,165,-0.07504850881925335,-0.05799602760085763
2021Q2,CommSvc,28,154,-0.021841569861146617,0.06323734331087653
2021Q2,ConsDiscr,54,387,-0.058871720076553016,-0.06594036086690733
2021Q2,ConsStaples,7,133,-0.003693953361653346,-0.0008810471336077458
2021Q2,Energy,11,209,-0.04272267160966457,-0.04732722761484662
2021Q2,Financials,43,538,0.031417587562954576,0.0005627992391835234
2021Q2,HealthCare,75,690,0.06129702590090345,-0.019691021762588357
2021Q2,Industrials,62,441,0.01975441130859075,0.00013524873813380855
2021Q2,InfoTech,164,333,-0.014469295907422679,0.031140448610199448
2021Q2,Materials,6,188,-0.03908879904229562,-0.007788039893206339
2021Q2,RealEstate,12,168,0.014120084478751125,0.020681497048438024
2021Q2,Utilities,6,76,0.06019895084846079,-0.051524541401355595
2021Q3,CommSvc,43,151,-0.012011754368079941,0.08138605495657292
2021Q3,ConsDiscr,39,414,-0.08551376998019432,-0.04041437221085602
2021Q3,ConsStaples,7,139,-0.0300294784288777,-0.09134579403196608
2021Q3,Energy,3,214,0.04150566950028503,-0.06398755462396347
2021Q3,Financials,48,483,-0.03399423436006264,-0.09400109905538467
2021Q3,HealthCare,88,682,-0.0036043496062208025,0.006117224630178282
2021Q3,Industrials,51,474,-0.035954796358610264,0.015198950940529199
2021Q3,InfoTech,165,366,0.0005771318951243339,-0.016079275171022672
2021Q3,Materials,12,179,-0.014567276816606002,0.010030926849529692
2021Q3,RealEstate,9,172,-0.06590648423472267,-0.01768145775484102
2021Q3,Utilities,3,75,-0.05696850689833603,0.007282259819472364
2021Q4,CommSvc,40,149,-0.08008227567650185,-0.08069411023513295
2021Q4,ConsDiscr,49,433,-0.006866952038124402,0.06187043711493381
2021Q4,ConsStaples,16,136,0.08428962094535136,0.07313900548963417
2021Q4,Energy,10,208,0.1430433163921549,0.023776645048827427
2021Q4,Financials,44,481,-0.07534150947117425,0.012654432707924372
2021Q4,HealthCare,89,691,-0.02271150380606224,0.020939723248657546
2021Q4,Industrials,67,472,-0.022565429596357364,-0.05636952401236178
2021Q4,InfoTech,175,379,-0.026654184772437833,-0.04049679472733245
2021Q4,Materials,8,182,0.0059854534626942735,0.11045423210172152
2021Q4,RealEstate,13,164,-0.08181635448420331,-0.007914860271083318
2022Q1,CommSvc,45,146,0.005303449607167304,0.04679453773961989
2022Q1,ConsDiscr,48,410,-0.0022599332575203024,-0.03509929974564638
2022Q1,ConsStaples,9,144,-0.022713465432982624,0.014471790029635563
