yq,bin,n_ai,n_non,ew_spread,vw_spread
2022Q1,Energy,8,195,-0.1012352885001259,-0.07427610114663975
2022Q1,Financials,54,468,-0.06688792026088669,-0.0011468482780061517
2022Q1,HealthCare,89,686,-0.008289404897176833,-0.007040079142385344
2022Q1,Industrials,77,462,-0.049089219452786964,-0.03610935945145857
2022Q1,InfoTech,154,367,-0.007312048685777728,0.011243081308163094
2022Q1,Materials,5,179,-0.026162834085373232,-0.09167314020044687
2022Q1,RealEstate,7,169,-0.057098362944874054,-0.011582540032249317
2022Q2,CommSvc,15,86,0.06233337567148433,-0.01877543412788138
2022Q2,ConsDiscr,24,217,0.028433948528682192,-0.06326509085679302
2022Q2,ConsStaples,4,74,0.012392054509823738,-0.07626135854347646
2022Q2,Energy,4,146,0.0140643014199461,-0.06768927969175956
2022Q2,Financials,15,403,-0.05917717358893498,-0.041561120010971724
2022Q2,HealthCare,46,363,-0.08096457756173611,0.035697140727163235
2022Q2,Industrials,27,320,-0.006656267854976611,0.06708726297318145
2022Q2,InfoTech,68,212,-0.0708080936228194,-0.08898363190899006
2022Q2,Materials,4,132,-0.06624995090522243,-0.027665188047731937
2022Q2,RealEstate,3,145,-0.01307930709727076,0.0694638281039981
2022Q2,Utilities,3,58,0.11326858337053436,0.1143841291484107
