yq,bin,n_ai,n_non,ew_spread,vw_spread
2020Q1,Small,93,1064,0.11428893518589706,0.10913454885099833
2020Q1,Mid,122,1035,0.08360981691136649,0.08657904863501392
2020Q1,Large,137,1020,-0.002669083433880559,0.03572418873073541
2020Q2,Small,68,1176,0.06224233632040322,0.06995741549113305
2020Q2,Mid,86,1158,0.055195582436159636,0.00951666937961912
2020Q2,Large,101,1143,0.018868707494264655,-0.048364523784887994
2020Q3,Small,101,1124,0.018560956992462796,0.019931768493867186
2020Q3,Mid,124,1101,-0.039394524108484374,-0.0606050197508374
2020Q3,Large,119,1106,-0.04128713882326551,-0.053661223691616036
2020Q4,Small,108,1113,-0.025331547223882867,0.015852274077910698
2020Q4,Mid,138,1083,-0.08992083827899112,-0.11730647289655954
2020Q4,Large,173,1048,-0.061298494084561866,-0.0037194636998302485
2021Q1,Small,130,1070,-0.028497973168823965,-0.015645362758547082
2021Q1,Mid,127,1071,0.0017866161206570447,0.012093633701599715
2021Q1,Large,186,1014,0.003860187725524822,0.03996247286928348
2021Q2,Small,125,1137,-0.0121938377437745,0.02468149566746798
2021Q2,Mid,153,1108,-0.013703482672652888,0.020892611046367866
2021Q2,Large,190,1072,0.0027849251394843066,0.002277817803596408
2021Q3,Small,143,1129,-0.025734069541292676,-0.0003770346164810312
2021Q3,Mid,153,1119,-0.057698864305662734,-0.07687187643021953
2021Q3,Large,172,1100,-0.00856156763485387,0.005508721402205971
2021Q4,Small,149,1144,-0.07536322986094948,-0.05825235813065327
2021Q4,Mid,165,1129,-0.07511109949679863,-0.059780080113006534
2021Q4,Large,197,1096,-0.06774481595713944,-0.05332861699329153
2022Q1,Small,157,1110,-0.030764567058905845,-0.01857557688315964
2022Q1,Mid,169,1098,-0.07608419506578445,-0.0751942192432804
2022Q1,Large,171,1096,-0.010199545017879896,-0.04966003063405733
2022Q2,Small,78,712,-0.10011159787115903,-0.07400947974789612
2022Q2,Mid,60,728,0.017144255611256303,0.018559846246142656
2022Q2,Large,75,715,-0.0013243051693239208,-0.05100683947391256
