dimension,outcome,bin,weight,n_quarters,mean_spread,hac_t,hac_p,sig
Industry,ret_future_4q,Financials,vw,8,-0.14860831301469052,-2.551807470581939,0.01071657196423923,-0.1486**
Industry,ret_future_4q,HealthCare,ew,8,0.030165928029299634,1.2794199453147894,0.20074921390061284,0.0302
Industry,ret_future_4q,HealthCare,vw,8,0.004829216658243585,0.2899010748916715,0.7718919192783854,0.0048
Industry,ret_future_4q,Industrials,ew,8,-0.022757499522703336,-1.7625483175087353,0.0779767003571095,-0.0228*
Industry,ret_future_4q,Industrials,vw,8,0.01202380186862173,0.4166667789832702,0.6769221568567615,0.0120
Industry,ret_future_4q,InfoTech,ew,8,-0.06936540490134188,-2.5962295350947664,0.009425307727798664,-0.0694***
Industry,ret_future_4q,InfoTech,vw,8,-0.04231837292577781,-0.5682640201382763,0.5698557061862071,-0.0423
Industry,ret_future_4q,Materials,ew,7,-0.08404394379842528,-3.803763115683703,0.0001425144684862391,-0.0840***
Industry,ret_future_4q,Materials,vw,7,0.17344392991112043,1.2211702096930266,0.222021581026019,0.1734
Industry,ret_future_4q,RealEstate,ew,8,-0.034311781464062614,-0.9381132256454114,0.3481862257675338,-0.0343
Industry,ret_future_4q,RealEstate,vw,8,-0.07321013525179615,-1.4137732184248288,0.15742849940083303,-0.0732
Industry,ret_future_4q,Utilities,ew,5,0.00016499912179326336,0.006855106926716799,0.9945304588584473,0.0002
Industry,ret_future_4q,Utilities,vw,5,-0.04974251785551387,-3.4365732850267507,0.0005891229516762319,-0.0497***
