outcome,ai_var,n_quarters_used,mean_beta,ts_se,ts_t,ts_p,hac_se,hac_t,hac_p
ret_future_1q,bert_adoption_dummy,10,-0.011723141109369417,0.010035926016819685,-1.1681175299341633,0.2727707587765764,0.010582172610529503,-1.1078198722353685,0.26793961600897587
ret_future_1q,bert_adoption_log_count,10,-0.009571098331743648,0.007913239275505758,-1.2095044770565127,0.25728047190067915,0.008427409470176457,-1.1357106078225532,0.25607769956570603
ret_future_1q,bert_adoption_per_1k_words,10,-0.027757570542540837,0.016758399415898458,-1.6563378073091886,0.13203475903715578,0.016778784410078414,-1.6543254781835008,0.09806139894514794
ret_future_4q,bert_adoption_dummy,8,-0.047690392222289935,0.02132617328878813,-2.236237677359695,0.060412292418037694,0.014190960769455786,-3.3606175788278794,0.0007776842155575677
ret_future_4q,bert_adoption_log_count,8,-0.034238363615837604,0.01571971998856876,-2.1780517490601254,0.06582978994528865,0.010932080177086629,-3.13191662165087,0.0017366918820022614
ret_future_4q,bert_adoption_per_1k_words,8,-0.08471265963853106,0.028377909349823704,-2.9851621059976825,0.02036538741463323,0.01679925751787145,-5.0426430780295926,4.5914520142296536e-07
