spread,n_quarters,mean_spread,ts_se,ts_t,ts_p,hac_se,hac_t,hac_p,outcome,portfolio
ew_high_low,10,-0.017935391071709203,0.012775266258016721,-1.4039152460289746,0.19389689890634498,0.012816806347144428,-1.3993650669228679,0.16170353682636318,ret_future_1q,AI dummy: AI minus non-AI
vw_high_low,10,-0.017215840646901896,0.011157525737445103,-1.542980142015254,0.15722968021917216,0.009773309874560748,-1.761515890508449,0.0781511258705587,ret_future_1q,AI dummy: AI minus non-AI
ew_high_low,8,-0.10162950092747353,0.01988347577903935,-5.11125429260254,0.0013821042129975591,0.008425965257768973,-12.061466884612217,1.6875025496331086e-33,ret_future_4q,AI dummy: AI minus non-AI
vw_high_low,8,-0.049450151949158,0.02386607917538517,-2.0719847439440136,0.07699083253684713,0.02519268965914039,-1.9628770337039632,0.04966046396543178,ret_future_4q,AI dummy: AI minus non-AI
