outcome,variable,mean_available,mean_missing,diff_available_minus_missing,n_available_nonmissing,n_missing_nonmissing
ret_future_1q,bert_adoption_dummy,0.11068733708327617,0.08377774858794168,0.026909588495334494,36445,38065
ret_future_1q,bert_adoption_log_count,0.12158210114189058,0.08239663940938054,0.039185461732510043,36445,38065
ret_future_1q,size,7.567242148563847,7.35400768098527,0.21323446757857667,35789,5432
ret_future_1q,bm,0.5248408973614439,0.64995297192753,-0.12511207456608608,34699,5054
ret_future_1q,leverage,0.30856396984860285,0.33738399594551854,-0.028820026096915696,35789,5432
ret_future_1q,profitability,-0.06532846552625307,-0.07393406699862061,0.008605601472367538,35788,5429
ret_future_1q,investment,0.23180037490857863,0.17873265203614172,0.05306772287243691,35581,5250
ret_future_1q,momentum,0.35161648780772153,0.32645152622561446,0.02516496158210707,34537,156
ret_future_1q,mktcap_m,11539.67449227691,3502.107514541447,8037.566977735463,36445,159
ret_future_1q,rd,0.05914030667263073,0.03191801450450134,0.027222292168129394,35789,5432
ret_future_1q,capex,0.027041991377763107,0.03535868687201279,-0.008316695494249682,35789,5432
