outcome,subsample,n_quarters,n_firm_obs,ai_minus_non_dgtw,hac_t,hac_p,sig
ret_future_1q,Non-Tech,10,28205,-0.021661125739213458,-1.663795294166949,0.09615334472755033,-0.0217*
ret_future_1q,Tech,10,6494,-0.009010428059564087,-0.9712453826172487,0.33142609951433766,-0.0090
ret_future_4q,Non-Tech,8,22909,-0.07083395731690628,-2.176094459473906,0.029548198131145047,-0.0708**
ret_future_4q,Tech,8,5266,-0.07199668369532196,-3.2073348963092574,0.0013397093619002484,-0.0720***
